# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.05          	7.528399e+00	3.832994e+00	3.695405e+00	-1.375885e-01	2.429490e-01	-3.805375e-01	3.117433e-01	6.879423e-02	3.764200e+00	9.000393e-18	3.764200e+00	-3.764200e+00
0.1           	8.648538e+00	4.323808e+00	4.324730e+00	9.215875e-04	-4.634571e-02	4.726729e-02	-4.680650e-02	-4.607937e-04	4.324269e+00	3.400999e-18	4.324269e+00	-4.324269e+00
0.15          	7.972812e+00	3.949308e+00	4.023503e+00	7.419484e-02	-5.076491e-04	7.470249e-02	-3.760507e-02	-3.709742e-02	3.986406e+00	1.881965e-18	3.986406e+00	-3.986406e+00
0.2           	7.478413e+00	3.683773e+00	3.794640e+00	1.108667e-01	9.144124e-02	1.942547e-02	3.600788e-02	-5.543335e-02	3.739207e+00	1.270998e-18	3.739207e+00	-3.739207e+00
0.25          	7.199105e+00	3.522250e+00	3.676856e+00	1.546060e-01	1.213570e-01	3.324902e-02	4.405397e-02	-7.730299e-02	3.599553e+00	1.059919e-18	3.599553e+00	-3.599553e+00
0.3           	7.021213e+00	3.435376e+00	3.585837e+00	1.504610e-01	1.072797e-01	4.318125e-02	3.204924e-02	-7.523048e-02	3.510607e+00	9.554526e-19	3.510607e+00	-3.510607e+00
0.35          	6.848891e+00	3.350880e+00	3.498011e+00	1.471311e-01	1.274020e-01	1.972906e-02	5.383646e-02	-7.356553e-02	3.424446e+00	9.284333e-19	3.424446e+00	-3.424446e+00
0.4           	6.690397e+00	3.303664e+00	3.386733e+00	8.306813e-02	6.505587e-02	1.801226e-02	2.352180e-02	-4.153406e-02	3.345198e+00	9.453921e-19	3.345198e+00	-3.345198e+00
0.45          	6.634586e+00	3.280807e+00	3.353779e+00	7.297239e-02	5.430005e-02	1.867234e-02	1.781385e-02	-3.648619e-02	3.317293e+00	9.879313e-19	3.317293e+00	-3.317293e+00
0.5           	6.618929e+00	3.277730e+00	3.341199e+00	6.346982e-02	3.617022e-02	2.729959e-02	4.435315e-03	-3.173491e-02	3.309465e+00	9.841742e-19	3.309465e+00	-3.309465e+00
0.55          	6.633883e+00	3.293116e+00	3.340768e+00	4.765179e-02	2.079626e-02	2.685553e-02	-3.029636e-03	-2.382590e-02	3.316942e+00	9.829076e-19	3.316942e+00	-3.316942e+00
0.6           	6.607135e+00	3.280397e+00	3.326738e+00	4.634035e-02	2.653502e-02	1.980533e-02	3.364846e-03	-2.317018e-02	3.303568e+00	9.820624e-19	3.303568e+00	-3.303568e+00
0.65          	6.603602e+00	3.296591e+00	3.307011e+00	1.041987e-02	2.668519e-03	7.751347e-03	-2.541414e-03	-5.209933e-03	3.301801e+00	9.663474e-19	3.301801e+00	-3.301801e+00
0.7           	6.581874e+00	3.295224e+00	3.286650e+00	-8.573785e-03	-1.280687e-03	-7.293098e-03	3.006206e-03	4.286893e-03	3.290937e+00	9.611414e-19	3.290937e+00	-3.290937e+00
0.75          	6.569185e+00	3.305834e+00	3.263351e+00	-4.248352e-02	-2.860077e-02	-1.388275e-02	-7.359009e-03	2.124176e-02	3.284592e+00	9.680078e-19	3.284592e+00	-3.284592e+00
0.8           	6.532412e+00	3.300405e+00	3.232007e+00	-6.839864e-02	-4.942939e-02	-1.896925e-02	-1.523007e-02	3.419932e-02	3.266206e+00	9.853999e-19	3.266206e+00	-3.266206e+00
0.85          	6.521642e+00	3.303287e+00	3.218355e+00	-8.493160e-02	-6.384574e-02	-2.108586e-02	-2.137994e-02	4.246580e-02	3.260821e+00	1.023430e-18	3.260821e+00	-3.260821e+00
0.9           	6.498281e+00	3.289908e+00	3.208373e+00	-8.153543e-02	-6.073851e-02	-2.079692e-02	-1.997080e-02	4.076771e-02	3.249140e+00	1.034033e-18	3.249140e+00	-3.249140e+00
0.95          	6.499703e+00	3.288299e+00	3.211404e+00	-7.689438e-02	-6.331150e-02	-1.358287e-02	-2.486431e-02	3.844719e-02	3.249852e+00	1.061990e-18	3.249852e+00	-3.249852e+00
1             	6.487747e+00	3.281337e+00	3.206410e+00	-7.492765e-02	-6.838439e-02	-6.543266e-03	-3.092056e-02	3.746383e-02	3.243873e+00	1.074601e-18	3.243873e+00	-3.243873e+00
1.05          	6.532784e+00	3.297236e+00	3.235548e+00	-6.168810e-02	-5.783381e-02	-3.854286e-03	-2.698976e-02	3.084405e-02	3.266392e+00	1.091770e-18	3.266392e+00	-3.266392e+00
1.1           	6.561980e+00	3.309248e+00	3.252733e+00	-5.651500e-02	-4.621004e-02	-1.030496e-02	-1.795254e-02	2.825750e-02	3.280990e+00	1.082292e-18	3.280990e+00	-3.280990e+00
1.15          	6.579602e+00	3.321370e+00	3.258232e+00	-6.313862e-02	-4.785244e-02	-1.528617e-02	-1.628314e-02	3.156931e-02	3.289801e+00	1.090106e-18	3.289801e+00	-3.289801e+00
1.2           	6.607512e+00	3.337009e+00	3.270503e+00	-6.650580e-02	-4.916643e-02	-1.733937e-02	-1.591353e-02	3.325290e-02	3.303756e+00	1.093684e-18	3.303756e+00	-3.303756e+00
1.25          	6.636842e+00	3.349172e+00	3.287670e+00	-6.150200e-02	-4.429135e-02	-1.721065e-02	-1.354035e-02	3.075100e-02	3.318421e+00	1.088982e-18	3.318421e+00	-3.318421e+00
1.3           	6.640765e+00	3.352053e+00	3.288712e+00	-6.334178e-02	-4.434986e-02	-1.899192e-02	-1.267897e-02	3.167089e-02	3.320383e+00	1.090021e-18	3.320383e+00	-3.320383e+00
1.35          	6.655734e+00	3.355792e+00	3.299942e+00	-5.584988e-02	-3.793695e-02	-1.791293e-02	-1.001201e-02	2.792494e-02	3.327867e+00	1.080898e-18	3.327867e+00	-3.327867e+00
1.4           	6.687789e+00	3.377146e+00	3.310643e+00	-6.650263e-02	-5.139158e-02	-1.511106e-02	-1.814026e-02	3.325132e-02	3.343895e+00	1.063298e-18	3.343895e+00	-3.343895e+00
1.45          	6.699693e+00	3.374638e+00	3.325054e+00	-4.958407e-02	-3.324003e-02	-1.634404e-02	-8.447995e-03	2.479204e-02	3.349846e+00	1.057575e-18	3.349846e+00	-3.349846e+00
1.5           	6.704301e+00	3.383329e+00	3.320972e+00	-6.235628e-02	-5.266093e-02	-9.695350e-03	-2.148279e-02	3.117814e-02	3.352150e+00	1.051018e-18	3.352150e+00	-3.352150e+00
1.55          	6.743358e+00	3.409256e+00	3.334102e+00	-7.515370e-02	-6.495636e-02	-1.019734e-02	-2.737951e-02	3.757685e-02	3.371679e+00	1.026338e-18	3.371679e+00	-3.371679e+00
1.6           	6.765731e+00	3.417241e+00	3.348490e+00	-6.875100e-02	-5.651385e-02	-1.223715e-02	-2.213835e-02	3.437550e-02	3.382865e+00	1.015726e-18	3.382865e+00	-3.382865e+00
1.65          	6.778812e+00	3.427515e+00	3.351297e+00	-7.621841e-02	-7.910135e-02	2.882943e-03	-4.099215e-02	3.810920e-02	3.389406e+00	9.978408e-19	3.389406e+00	-3.389406e+00
1.7           	6.823522e+00	3.446555e+00	3.376967e+00	-6.958837e-02	-7.519207e-02	5.603696e-03	-4.039788e-02	3.479419e-02	3.411761e+00	9.910693e-19	3.411761e+00	-3.411761e+00
1.75          	6.840213e+00	3.447747e+00	3.392467e+00	-5.528016e-02	-7.255068e-02	1.727053e-02	-4.491060e-02	2.764008e-02	3.420107e+00	9.780172e-19	3.420107e+00	-3.420107e+00
1.8           	6.861560e+00	3.455797e+00	3.405763e+00	-5.003415e-02	-7.155118e-02	2.151703e-02	-4.653410e-02	2.501708e-02	3.430780e+00	9.533759e-19	3.430780e+00	-3.430780e+00
1.85          	6.886081e+00	3.465377e+00	3.420705e+00	-4.467203e-02	-7.499399e-02	3.032196e-02	-5.265798e-02	2.233601e-02	3.443041e+00	9.413637e-19	3.443041e+00	-3.443041e+00
1.9           	6.941718e+00	3.485481e+00	3.456236e+00	-2.924513e-02	-7.373132e-02	4.448619e-02	-5.910875e-02	1.462257e-02	3.470859e+00	9.179983e-19	3.470859e+00	-3.470859e+00
1.95          	6.975798e+00	3.507067e+00	3.468731e+00	-3.833641e-02	-8.519740e-02	4.686099e-02	-6.602919e-02	1.916821e-02	3.487899e+00	9.021818e-19	3.487899e+00	-3.487899e+00
2             	7.028311e+00	3.529067e+00	3.499244e+00	-2.982336e-02	-9.011887e-02	6.029551e-02	-7.520719e-02	1.491168e-02	3.514155e+00	8.801646e-19	3.514155e+00	-3.514155e+00
2.05          	7.088753e+00	3.554889e+00	3.533864e+00	-2.102440e-02	-7.984172e-02	5.881732e-02	-6.932952e-02	1.051220e-02	3.544376e+00	8.708580e-19	3.544376e+00	-3.544376e+00
2.1           	7.137912e+00	3.580161e+00	3.557750e+00	-2.241126e-02	-8.563603e-02	6.322477e-02	-7.443040e-02	1.120563e-02	3.568956e+00	8.539989e-19	3.568956e+00	-3.568956e+00
2.15          	7.187156e+00	3.593703e+00	3.593453e+00	-2.505341e-04	-7.436041e-02	7.410987e-02	-7.423514e-02	1.252670e-04	3.593578e+00	8.460797e-19	3.593578e+00	-3.593578e+00
2.2           	7.243450e+00	3.621186e+00	3.622264e+00	1.077971e-03	-6.928994e-02	7.036791e-02	-6.982892e-02	-5.389857e-04	3.621725e+00	8.294087e-19	3.621725e+00	-3.621725e+00
2.25          	7.291763e+00	3.645057e+00	3.646706e+00	1.648380e-03	-6.861609e-02	7.026447e-02	-6.944028e-02	-8.241900e-04	3.645882e+00	8.192414e-19	3.645882e+00	-3.645882e+00
2.3           	7.336070e+00	3.663971e+00	3.672100e+00	8.129047e-03	-6.202307e-02	7.015211e-02	-6.608759e-02	-4.064523e-03	3.668035e+00	8.050355e-19	3.668035e+00	-3.668035e+00
2.35          	7.375974e+00	3.681336e+00	3.694637e+00	1.330076e-02	-5.856748e-02	7.186824e-02	-6.521786e-02	-6.650381e-03	3.687987e+00	7.884461e-19	3.687987e+00	-3.687987e+00
2.4           	7.420571e+00	3.708543e+00	3.712028e+00	3.485137e-03	-6.773430e-02	7.121944e-02	-6.947687e-02	-1.742569e-03	3.710286e+00	7.903990e-19	3.710286e+00	-3.710286e+00
2.45          	7.452623e+00	3.715321e+00	3.737302e+00	2.198126e-02	-5.608546e-02	7.806672e-02	-6.707609e-02	-1.099063e-02	3.726311e+00	7.783466e-19	3.726311e+00	-3.726311e+00
2.5           	7.487337e+00	3.738229e+00	3.749107e+00	1.087783e-02	-5.987172e-02	7.074954e-02	-6.531063e-02	-5.438913e-03	3.743668e+00	7.828129e-19	3.743668e+00	-3.743668e+00
2.55          	7.528196e+00	3.756885e+00	3.771311e+00	1.442545e-02	-5.904471e-02	7.347016e-02	-6.625743e-02	-7.212724e-03	3.764098e+00	7.832795e-19	3.764098e+00	-3.764098e+00
2.6           	7.563470e+00	3.777610e+00	3.785860e+00	8.250470e-03	-6.153061e-02	6.978108e-02	-6.565585e-02	-4.125235e-03	3.781735e+00	7.871538e-19	3.781735e+00	-3.781735e+00
2.65          	7.614098e+00	3.801066e+00	3.813032e+00	1.196553e-02	-6.640500e-02	7.837053e-02	-7.238777e-02	-5.982764e-03	3.807049e+00	7.910991e-19	3.807049e+00	-3.807049e+00
2.7           	7.645561e+00	3.819172e+00	3.826390e+00	7.217811e-03	-7.078233e-02	7.800014e-02	-7.439123e-02	-3.608906e-03	3.822781e+00	7.927610e-19	3.822781e+00	-3.822781e+00
